Invoice Number,GSTIN,Grand Total,Service Period Start,Service Period End,Source File
250409FS29011158,29AAFCB7707D1ZQ,"7,046.41",01/04/2025,05/04/2025,taco_Tax_Invoice_330114_09042025_250409FS29011158.pdf
250409FS29009158,29AAFCB7707D1ZQ,"54,571.712",01/04/2025,05/04/2025,taco_Tax_Invoice_4780_09042025_250409FS29009158.pdf
250409FS29011069,29AAFCB7707D1ZQ,"6,546.279",01/04/2025,05/04/2025,taco_Tax_Invoice_313834_09042025_250409FS29011069.pdf
250409FS29006449,29AAFCB7707D1ZQ,122.448,01/04/2025,05/04/2025,taco_Tax_Invoice_570268_09042025_250409FS29006449.pdf
250409FS29006872,29AAFCB7707D1ZQ,"23,992.754",01/04/2025,05/04/2025,taco_Tax_Invoice_445384_09042025_250409FS29006872.pdf
250409FS29007230,29AAFCB7707D1ZQ,,01/04/2025,05/04/2025,taco_Tax_Invoice_180801_09042025_250409FS29007230.pdf
250409FS29003032,29AAFCB7707D1ZQ,"35,652.116",01/04/2025,05/04/2025,taco_Tax_Invoice_593472_09042025_250409FS29003032.pdf
250409FS29002733,29AAFCB7707D1ZQ,"3,376.29",01/04/2025,05/04/2025,taco_Tax_Invoice_444423_09042025_250409FS29002733.pdf
250409FS29007041,29AAFCB7707D1ZQ,"11,365.257",01/04/2025,05/04/2025,taco_Tax_Invoice_231392_09042025_250409FS29007041.pdf
250409FS29011371,29AAFCB7707D1ZQ,"2,046.445",01/04/2025,05/04/2025,taco_Tax_Invoice_180796_09042025_250409FS29011371.pdf
250409FS29010820,29AAFCB7707D1ZQ,"7,143.443",01/04/2025,05/04/2025,taco_Tax_Invoice_408_09042025_250409FS29010820.pdf
250409FS29010197,29AAFCB7707D1ZQ,"13,544.106",01/04/2025,05/04/2025,taco_Tax_Invoice_600278_09042025_250409FS29010197.pdf
